asset_id,model_id,client_id,fecha_despliegue,coste_adquisicion,vida_util_meses,valor_residual,estado,horas_operadas,dep_mensual,meses_depreciados,dep_acumulada,valor_neto_contable,vida_restante_meses
TKR-1001,M4,C01,2023-08-19,62000.0,60,6200.0,Operativo,6058,930.0,35.0,32550.0,29450.0,25.0
TKR-1002,M4,C01,2024-02-05,62000.0,60,6200.0,Mantenimiento,4933,930.0,29.0,26970.0,35030.0,31.0
TKR-1003,M4,C01,2025-09-05,62000.0,60,6200.0,Mantenimiento,770,930.0,10.0,9300.0,52700.0,50.0
TKR-1004,M3,C01,2024-10-29,185000.0,84,9250.0,Mantenimiento,2984,2092.26,21.0,43937.5,141062.5,63.0
TKR-1005,M3,C01,2023-12-24,185000.0,84,9250.0,Operativo,1294,2092.26,31.0,64860.12,120139.88,53.0
TKR-1006,M3,C01,2024-08-15,185000.0,84,9250.0,Operativo,5014,2092.26,23.0,48122.02,136877.98,61.0
TKR-1007,M1,C01,2024-11-16,95000.0,72,4750.0,Standby,2935,1253.47,20.0,25069.44,69930.56,52.0
TKR-1008,M1,C01,2023-11-30,95000.0,72,4750.0,Mantenimiento,5608,1253.47,32.0,40111.11,54888.89,40.0
TKR-1009,M2,C01,2024-09-10,140000.0,72,7000.0,Mantenimiento,4964,1847.22,22.0,40638.89,99361.11,50.0
TKR-1010,M4,C01,2023-09-08,62000.0,60,6200.0,Operativo,1823,930.0,34.0,31620.0,30380.0,26.0
TKR-1011,M1,C01,2024-11-12,95000.0,72,4750.0,Operativo,4081,1253.47,20.0,25069.44,69930.56,52.0
TKR-1012,M4,C01,2025-02-24,62000.0,60,6200.0,Operativo,6099,930.0,17.0,15810.0,46190.0,43.0
TKR-1013,M5,C02,2024-03-04,78000.0,60,3900.0,Operativo,5722,1235.0,28.0,34580.0,43420.0,32.0
TKR-1014,M5,C02,2025-01-01,78000.0,60,3900.0,Operativo,2757,1235.0,18.0,22230.0,55770.0,42.0
TKR-1015,M5,C02,2024-05-21,78000.0,60,3900.0,Mantenimiento,4441,1235.0,26.0,32110.0,45890.0,34.0
TKR-1016,M5,C02,2024-03-17,78000.0,60,3900.0,Operativo,2987,1235.0,28.0,34580.0,43420.0,32.0
TKR-1017,M1,C02,2025-06-03,95000.0,72,4750.0,Operativo,2387,1253.47,13.0,16295.14,78704.86,59.0
TKR-1018,M1,C02,2024-05-17,95000.0,72,4750.0,Operativo,6021,1253.47,26.0,32590.28,62409.72,46.0
TKR-1019,M5,C02,2025-03-20,78000.0,60,3900.0,Mantenimiento,2992,1235.0,16.0,19760.0,58240.0,44.0
TKR-1020,M2,C02,2024-12-15,140000.0,72,7000.0,Operativo,1425,1847.22,19.0,35097.22,104902.78,53.0
TKR-1021,M5,C03,2024-10-25,78000.0,60,3900.0,Operativo,3787,1235.0,21.0,25935.0,52065.0,39.0
TKR-1022,M3,C03,2024-04-18,185000.0,84,9250.0,Operativo,1491,2092.26,27.0,56491.07,128508.93,57.0
TKR-1023,M3,C03,2025-09-06,185000.0,84,9250.0,Operativo,5765,2092.26,10.0,20922.62,164077.38,74.0
TKR-1024,M5,C03,2024-03-26,78000.0,60,3900.0,Operativo,2825,1235.0,28.0,34580.0,43420.0,32.0
TKR-1025,M3,C03,2024-06-16,185000.0,84,9250.0,Operativo,5839,2092.26,25.0,52306.55,132693.45,59.0
TKR-1026,M3,C03,2024-01-28,185000.0,84,9250.0,Operativo,5328,2092.26,30.0,62767.86,122232.14,54.0
TKR-1027,M3,C03,2024-09-23,185000.0,84,9250.0,Operativo,3613,2092.26,22.0,46029.76,138970.24,62.0
TKR-1028,M3,C03,2024-07-07,185000.0,84,9250.0,Operativo,5844,2092.26,24.0,50214.29,134785.71,60.0
TKR-1029,M5,C03,2025-12-08,78000.0,60,3900.0,Operativo,3618,1235.0,7.0,8645.0,69355.0,53.0
TKR-1030,M4,C03,2024-09-28,62000.0,60,6200.0,Operativo,4082,930.0,22.0,20460.0,41540.0,38.0
TKR-1031,M3,C03,2025-01-28,185000.0,84,9250.0,Operativo,660,2092.26,18.0,37660.71,147339.29,66.0
TKR-1032,M3,C03,2024-02-09,185000.0,84,9250.0,Operativo,1695,2092.26,29.0,60675.6,124324.4,55.0
TKR-1033,M5,C03,2024-12-08,78000.0,60,3900.0,Operativo,2567,1235.0,19.0,23465.0,54535.0,41.0
TKR-1034,M5,C03,2026-02-07,78000.0,60,3900.0,Operativo,585,1235.0,5.0,6175.0,71825.0,55.0
TKR-1035,M3,C03,2025-11-03,185000.0,84,9250.0,Operativo,5472,2092.26,8.0,16738.1,168261.9,76.0
TKR-1036,M2,C04,2024-08-03,140000.0,72,7000.0,Operativo,1234,1847.22,23.0,42486.11,97513.89,49.0
TKR-1037,M1,C04,2025-05-12,95000.0,72,4750.0,Operativo,2119,1253.47,14.0,17548.61,77451.39,58.0
TKR-1038,M4,C04,2024-10-18,62000.0,60,6200.0,Operativo,4549,930.0,21.0,19530.0,42470.0,39.0
TKR-1039,M2,C04,2024-10-14,140000.0,72,7000.0,Operativo,6044,1847.22,21.0,38791.67,101208.33,51.0
TKR-1040,M1,C05,2025-05-10,95000.0,72,4750.0,Operativo,3295,1253.47,14.0,17548.61,77451.39,58.0
TKR-1041,M1,C05,2025-08-26,95000.0,72,4750.0,Operativo,2830,1253.47,11.0,13788.19,81211.81,61.0
TKR-1042,M1,C05,2025-02-07,95000.0,72,4750.0,Standby,4248,1253.47,17.0,21309.03,73690.97,55.0
TKR-1043,M1,C05,2025-10-05,95000.0,72,4750.0,Operativo,3914,1253.47,9.0,11281.25,83718.75,63.0
TKR-1044,M3,C05,2026-03-01,185000.0,84,9250.0,Mantenimiento,5983,2092.26,4.0,8369.05,176630.95,80.0
TKR-1045,M3,C05,2024-08-21,185000.0,84,9250.0,Mantenimiento,5136,2092.26,23.0,48122.02,136877.98,61.0
TKR-1046,M3,C05,2024-06-10,185000.0,84,9250.0,Operativo,2248,2092.26,25.0,52306.55,132693.45,59.0
TKR-1047,M2,C05,2024-10-08,140000.0,72,7000.0,Operativo,1290,1847.22,21.0,38791.67,101208.33,51.0
TKR-1048,M1,C06,2024-12-19,95000.0,72,4750.0,Operativo,3828,1253.47,19.0,23815.97,71184.03,53.0
TKR-1049,M4,C06,2025-03-14,62000.0,60,6200.0,Operativo,4997,930.0,16.0,14880.0,47120.0,44.0
TKR-1050,M2,C06,2024-09-15,140000.0,72,7000.0,Operativo,3713,1847.22,22.0,40638.89,99361.11,50.0
TKR-1051,M2,C06,2024-10-01,140000.0,72,7000.0,Operativo,941,1847.22,21.0,38791.67,101208.33,51.0
TKR-1052,M2,C06,2026-01-16,140000.0,72,7000.0,Mantenimiento,5635,1847.22,6.0,11083.33,128916.67,66.0
TKR-1053,M1,C06,2024-11-29,95000.0,72,4750.0,Standby,4686,1253.47,20.0,25069.44,69930.56,52.0
TKR-1054,M1,C06,2024-09-22,95000.0,72,4750.0,Mantenimiento,2633,1253.47,22.0,27576.39,67423.61,50.0
TKR-1055,M4,C06,2026-01-22,62000.0,60,6200.0,Operativo,3904,930.0,6.0,5580.0,56420.0,54.0
TKR-1056,M1,C06,2024-08-02,95000.0,72,4750.0,Operativo,4377,1253.47,23.0,28829.86,66170.14,49.0
TKR-1057,M2,C07,2025-04-22,140000.0,72,7000.0,Operativo,3505,1847.22,15.0,27708.33,112291.67,57.0
TKR-1058,M3,C07,2025-07-29,185000.0,84,9250.0,Mantenimiento,820,2092.26,12.0,25107.14,159892.86,72.0
TKR-1059,M2,C07,2025-06-09,140000.0,72,7000.0,Standby,1166,1847.22,13.0,24013.89,115986.11,59.0
TKR-1060,M3,C07,2025-05-15,185000.0,84,9250.0,Operativo,4595,2092.26,14.0,29291.67,155708.33,70.0
TKR-1061,M1,C07,2024-09-29,95000.0,72,4750.0,Standby,5011,1253.47,22.0,27576.39,67423.61,50.0
TKR-1062,M3,C07,2025-07-17,185000.0,84,9250.0,Standby,1372,2092.26,12.0,25107.14,159892.86,72.0
TKR-1063,M1,C07,2026-05-23,95000.0,72,4750.0,Operativo,4830,1253.47,2.0,2506.94,92493.06,70.0
TKR-1064,M3,C07,2026-01-17,185000.0,84,9250.0,Mantenimiento,4958,2092.26,6.0,12553.57,172446.43,78.0
TKR-1065,M1,C07,2025-07-31,95000.0,72,4750.0,Operativo,4293,1253.47,12.0,15041.67,79958.33,60.0
TKR-1066,M4,C07,2025-04-22,62000.0,60,6200.0,Operativo,3486,930.0,15.0,13950.0,48050.0,45.0
TKR-1067,M2,C07,2025-01-03,140000.0,72,7000.0,Operativo,2623,1847.22,18.0,33250.0,106750.0,54.0
