sku,descripcion,categoria,coste_estandar,lead_time_dias,proveedor,stock_inicial_ene25,stock_teorico_actual,demanda_media_mensual,stock_seguridad,punto_pedido
MP-100,Perfil aluminio 40x40,Materia prima,61.34,17,Interno (producción),370,600,264.9,75,225
MP-101,Chapa acero S235,Materia prima,83.55,29,ElectroParts EU,449,470,102.1,49,148
MP-102,Cable AWG16,Materia prima,109.09,25,ElectroParts EU,424,409,199.4,83,249
MP-103,Filamento PA12,Materia prima,28.74,25,ElectroParts EU,506,617,178.9,75,224
MP-104,Resina epoxi,Materia prima,19.41,19,RoboSupply DE,441,500,218.4,69,207
MP-105,Tornillería M6 inox,Materia prima,115.0,22,AsiaComp Ltd,538,720,199.5,73,219
MP-106,Guía lineal 600mm,Materia prima,56.49,18,Sumtec BCN,439,467,86.7,26,78
MP-107,Correa GT3,Materia prima,115.49,7,AsiaComp Ltd,386,467,125.7,15,44
MP-108,Rodamiento 6204,Materia prima,12.6,9,Sumtec BCN,396,469,90.7,14,41
MP-109,Grasa NLGI-2,Materia prima,15.34,12,Interno (producción),332,451,187.0,37,112
MP-110,Tubo neumático 8mm,Materia prima,65.8,17,AsiaComp Ltd,471,475,231.4,66,197
MP-111,Pintura RAL7016,Materia prima,13.71,14,Interno (producción),552,813,308.2,72,216
MP-112,Cinta LED 24V,Materia prima,51.06,9,AsiaComp Ltd,535,548,288.1,43,129
MP-113,Junta tórica kit,Materia prima,86.2,8,RoboSupply DE,442,359,210.1,28,84
CP-100,Servomotor 750W,Componente,299.78,23,RoboSupply DE,140,170,80.5,31,93
CP-101,Driver EtherCAT,Componente,398.28,32,Sumtec BCN,210,219,32.3,17,51
CP-102,Cámara industrial 5MP,Componente,136.38,14,RoboSupply DE,125,146,55.7,13,39
CP-103,Lente 8mm,Componente,41.06,53,Sumtec BCN,161,203,31.6,28,84
CP-104,PLC compacto,Componente,460.97,37,Sumtec BCN,209,257,55.4,34,102
CP-105,Fuente 48V 20A,Componente,410.94,29,MecanoCat,161,247,88.7,43,129
CP-106,Pinza eléctrica 2 dedos,Componente,763.44,49,MecanoCat,132,88,69.6,57,171
CP-107,Ventosa Ø40,Componente,317.34,25,MecanoCat,147,106,54.9,23,69
