fecha,sku,tipo,cantidad
2025-01-04,MP-100,Entrada producción,113
2025-01-04,MP-113,Entrada compra,159
2025-01-04,SP-111,Entrada compra,18
2025-01-04,SP-105,Entrada compra,4
2025-01-05,MP-107,Entrada compra,81
2025-01-05,MP-112,Entrada compra,192
2025-01-05,CP-117,Entrada compra,32
2025-01-06,CP-121,Entrada compra,34
2025-01-06,CP-105,Entrada compra,48
2025-01-06,SA-105,Entrada compra,4
2025-01-06,SP-108,Entrada compra,13
2025-01-07,CP-104,Entrada compra,30
2025-01-07,SP-111,Salida consumo,-15
2025-01-07,SA-111,Entrada compra,6
2025-01-07,MP-113,Salida consumo,-169
2025-01-07,MP-100,Salida consumo,-141
2025-01-07,SP-105,Salida consumo,-5
2025-01-08,PA-102,Entrada producción,4
2025-01-08,MP-107,Salida consumo,-80
2025-01-08,SP-104,Entrada compra,19
2025-01-08,MP-112,Salida consumo,-163
2025-01-08,CP-117,Salida consumo,-35
2025-01-08,CP-119,Entrada compra,62
2025-01-08,CP-110,Entrada compra,29
2025-01-09,SA-105,Salida consumo,-4
2025-01-09,MP-111,Entrada producción,204
2025-01-09,SP-108,Salida consumo,-14
2025-01-09,CP-121,Salida consumo,-43
2025-01-09,CP-105,Salida consumo,-53
2025-01-10,MP-102,Entrada compra,172
2025-01-10,SA-111,Salida consumo,-6
2025-01-10,SA-103,Entrada compra,6
2025-01-10,CP-116,Entrada compra,27
2025-01-10,PA-101,Entrada producción,1
2025-01-10,CP-104,Salida consumo,-32
2025-01-10,MP-109,Entrada producción,181
2025-01-11,CP-113,Entrada compra,41
2025-01-11,SP-109,Entrada compra,29
2025-01-11,SA-107,Entrada compra,9
2025-01-11,PA-102,Salida despliegue,-5
2025-01-11,SA-104,Entrada compra,10
2025-01-11,CP-119,Salida consumo,-51
2025-01-11,CP-110,Salida consumo,-33
2025-01-11,SP-104,Salida consumo,-20
2025-01-12,SA-106,Entrada producción,21
2025-01-12,MP-111,Salida consumo,-172
2025-01-12,CP-106,Entrada compra,48
2025-01-12,MP-103,Entrada compra,89
2025-01-13,PA-101,Salida despliegue,-1
2025-01-13,SA-102,Entrada compra,4
2025-01-13,CP-116,Salida consumo,-31
2025-01-13,MP-102,Salida consumo,-152
2025-01-13,SP-100,Entrada compra,12
2025-01-13,MP-109,Salida consumo,-152
